Steam ID,76561198799565349

Community Visibility State,3

Profile State,1

Persona Name,Shoegaze boy

Profile URL,https://steamcommunity.com/profiles/76561198799565349/

Avatar URL,https://avatars.steamstatic.com/b7e45ddd4e9b45d50eff6f2afc9753edd8c005ce.jpg

Avatar Medium URL,https://avatars.steamstatic.com/b7e45ddd4e9b45d50eff6f2afc9753edd8c005ce_medium.jpg

Avatar Full URL,https://avatars.steamstatic.com/b7e45ddd4e9b45d50eff6f2afc9753edd8c005ce_full.jpg

Avatar Hash,b7e45ddd4e9b45d50eff6f2afc9753edd8c005ce

Last Logoff,1734994533

Persona State,0

Primary Clan ID,103582791459081683

Time Created,1514298999

Persona State Flags,0

